Frame,Module,Start_Time,End_Time,Duration_s,Energy_kWh,Emissions_kg,CPU_Usage,Memory_Usage
51,object_detection_yolo,16:33:03.040043,16:33:03.077552,0.0375,0.000000,0.000000,0,0
51,vehicle_analysis_postprocessing,16:33:03.081898,16:33:03.082468,0.0006,0.000000,0.000000,0,0
51,mqtt_communication,16:33:03.086285,16:33:03.086536,0.0003,0.000000,0.000000,0,0
52,lane_detection,16:33:03.116588,16:33:03.189237,0.0726,0.000000,0.000000,0,0
52,car_overlay_reconstruction,16:33:03.194458,16:33:03.197063,0.0026,0.000000,0.000000,0,0
52,object_detection_yolo,16:33:03.201087,16:33:03.239537,0.0385,0.000000,0.000000,0,0
52,vehicle_analysis_postprocessing,16:33:03.247432,16:33:03.248286,0.0009,0.000000,0.000000,0,0
52,mqtt_communication,16:33:03.255892,16:33:03.256276,0.0004,0.000000,0.000000,0,0
53,lane_detection,16:33:03.289662,16:33:03.372867,0.0832,0.000000,0.000000,0,0
53,car_overlay_reconstruction,16:33:03.379355,16:33:03.382237,0.0029,0.000000,0.000000,0,0
53,object_detection_yolo,16:33:03.387777,16:33:03.424815,0.0370,0.000000,0.000000,0,0
53,vehicle_analysis_postprocessing,16:33:03.428898,16:33:03.429483,0.0006,0.000000,0.000000,0,0
53,mqtt_communication,16:33:03.433383,16:33:03.433603,0.0002,0.000000,0.000000,0,0
54,lane_detection,16:33:03.464437,16:33:03.531558,0.0671,0.000000,0.000000,0,0
54,car_overlay_reconstruction,16:33:03.535991,16:33:03.538487,0.0025,0.000000,0.000000,0,0
54,object_detection_yolo,16:33:03.542357,16:33:03.579834,0.0375,0.000000,0.000000,0,0
54,vehicle_analysis_postprocessing,16:33:03.583823,16:33:03.584285,0.0005,0.000000,0.000000,0,0
54,mqtt_communication,16:33:03.587873,16:33:03.588123,0.0003,0.000000,0.000000,0,0
55,lane_detection,16:33:03.622894,16:33:03.700307,0.0774,0.000000,0.000000,0,0
55,car_overlay_reconstruction,16:33:03.704241,16:33:03.706618,0.0024,0.000000,0.000000,0,0
